"","variable","ols_coefficient","lasso_coefficient"
"241","f_municipioMunicipio3:d_gym",NA,-5.37460787121365
"242","f_municipioMunicipio3:d_heating",NA,-2.04622439556507
"243","f_municipioMunicipio3:d_hottub",NA,-1.16197685167583
"244","f_municipioMunicipio3:d_iron",NA,-0.551257316795115
"245","f_municipioMunicipio3:d_keypad",NA,1.54845174617476
"246","f_municipioMunicipio3:d_kitchenamenities",NA,-2.69311382560917
"247","f_municipioMunicipio3:d_luggagedropoffallowed",NA,1.07872206030276
"248","f_municipioMunicipio3:d_outdoorfurniture",NA,-0.0764213572491264
"249","f_municipioMunicipio3:d_oven",NA,2.51787623397279
"250","f_municipioMunicipio3:d_patioorbalcony",NA,-0.0409934588709939
"251","f_municipioMunicipio3:d_petsallowed",NA,-0.871580415134063
"252","f_municipioMunicipio3:d_pool",NA,-0.27777919619751
"253","f_municipioMunicipio3:d_privateentrance",NA,0.0897760315161125
"254","f_municipioMunicipio3:d_readingmaterial",NA,0.47632773736858
"255","f_municipioMunicipio3:d_security",NA,-0.216296683025681
"256","f_municipioMunicipio3:d_smarttv",NA,-1.07229657280871
"257","f_municipioMunicipio3:d_soundsystem",NA,0.307201783123491
"258","f_municipioMunicipio3:d_specialview",NA,2.64454480837708
"259","f_municipioMunicipio3:d_table",NA,0.46363781480097
"260","f_municipioMunicipio3:d_toysforchildren",NA,-1.09570967252323
"261","f_municipioMunicipio3:d_tv",NA,0.779829044245568
"262","f_municipioMunicipio3:d_unreservedparking",NA,0.0550353405703631
"263","f_municipioMunicipio3:d_wardrobe",NA,-1.35247141555567
"264","f_municipioMunicipio3:d_wifi",NA,-1.02240945984336
"265","f_municipioMunicipio4",-55.6659696642406,-6.2663444069466
"266","f_municipioMunicipio4:d_ac",NA,-1.3134224247791
"267","f_municipioMunicipio4:d_babykit",NA,-0.0461311202142896
"268","f_municipioMunicipio4:d_bedroomessentials",NA,-0.16636531488657
"269","f_municipioMunicipio4:d_breakfast",NA,-1.66094138540454
"270","f_municipioMunicipio4:d_buildingstaff",NA,-0.480175191505494
"271","f_municipioMunicipio4:d_cleaningproducts",NA,0.559191590149822
"272","f_municipioMunicipio4:d_dryer",NA,-1.79521842808832
"273","f_municipioMunicipio4:d_elevator",NA,-0.829911530748978
"274","f_municipioMunicipio4:d_evcharger",NA,-0.28727147406085
"275","f_municipioMunicipio4:d_exerciseequipm",NA,1.61082470092624
"276","f_municipioMunicipio4:d_firepit",NA,0.531150223343101
"277","f_municipioMunicipio4:d_fridge",NA,1.83593688348539
"278","f_municipioMunicipio4:d_games",NA,-0.785453830131413
"279","f_municipioMunicipio4:d_gym",NA,-7.91544544185334
"280","f_municipioMunicipio4:d_hottub",NA,-0.748905060018714
"281","f_municipioMunicipio4:d_keypad",NA,0.472335846926776
"282","f_municipioMunicipio4:d_kitchenamenities",NA,-0.907831708929737
"283","f_municipioMunicipio4:d_luggagedropoffallowed",NA,1.12933547743679
"284","f_municipioMunicipio4:d_outdoorfurniture",NA,-1.65244976547666
"285","f_municipioMunicipio4:d_patioorbalcony",NA,-0.605418359303052
"286","f_municipioMunicipio4:d_petsallowed",NA,-0.967435248309247
"287","f_municipioMunicipio4:d_piano",NA,-1.07842523581196
"288","f_municipioMunicipio4:d_pool",NA,-1.28025478765059
"289","f_municipioMunicipio4:d_readingmaterial",NA,0.437183827459244
"290","f_municipioMunicipio4:d_reservedparking",NA,0.438489988114633
"291","f_municipioMunicipio4:d_sauna",NA,0.604668719836962
"292","f_municipioMunicipio4:d_security",NA,-4.22110759604289
"293","f_municipioMunicipio4:d_soundsystem",NA,-0.228738412792392
"294","f_municipioMunicipio4:d_specialview",NA,0.000293060776576553
"295","f_municipioMunicipio4:d_stove",NA,0.335545775574391
"296","f_municipioMunicipio4:d_toysforchildren",NA,0.126214756038854
"297","f_municipioMunicipio4:d_tv",NA,0.0310374840500299
"298","f_municipioMunicipio4:d_wifi",NA,-2.22359425546493
"299","f_municipioMunicipio4:d_windowsamenities",NA,-0.0126884521358678
"300","f_municipioMunicipio5",-59.7331975128543,-7.31242203022643
"301","f_municipioMunicipio5:d_ac",NA,-2.07251834886711
"302","f_municipioMunicipio5:d_babykit",NA,-1.15037995206828
"303","f_municipioMunicipio5:d_bathroomessentials",NA,-1.90098125261217
"304","f_municipioMunicipio5:d_bedroomessentials",NA,1.16218635306064
"305","f_municipioMunicipio5:d_bidet",NA,2.36698855075492
"306","f_municipioMunicipio5:d_breakfast",NA,-1.95861368281107
"307","f_municipioMunicipio5:d_cleaningavailableduringstay",NA,-0.922057439210643
"308","f_municipioMunicipio5:d_cleaningproducts",NA,1.96319006178848
"309","f_municipioMunicipio5:d_dryer",NA,0.00166806075010263
"310","f_municipioMunicipio5:d_elevator",NA,-0.631244603459003
"311","f_municipioMunicipio5:d_evcharger",NA,-0.24364371515999
"312","f_municipioMunicipio5:d_exerciseequipm",NA,-0.614607438694247
"313","f_municipioMunicipio5:d_externallaundry",NA,-0.136342778551676
"314","f_municipioMunicipio5:d_firepit",NA,-0.122541902448726
"315","f_municipioMunicipio5:d_gym",NA,-4.08040230168783
"316","f_municipioMunicipio5:d_iron",NA,-0.863974487596259
"317","f_municipioMunicipio5:d_keypad",NA,1.70221307888932
"318","f_municipioMunicipio5:d_luggagedropoffallowed",NA,0.0121521753965042
"319","f_municipioMunicipio5:d_outdoorfurniture",NA,-0.905293582526945
"320","f_municipioMunicipio5:d_oven",NA,-0.250619482831403
"321","f_municipioMunicipio5:d_petsallowed",NA,-0.230590158887584
"322","f_municipioMunicipio5:d_piano",NA,0.321173513630993
"323","f_municipioMunicipio5:d_pool",NA,0.242943979131281
"324","f_municipioMunicipio5:d_privateentrance",NA,-1.12398860728212
"325","f_municipioMunicipio5:d_readingmaterial",NA,0.41830601316074
"326","f_municipioMunicipio5:d_reservedparking",NA,-0.895097471040667
"327","f_municipioMunicipio5:d_security",NA,-1.32923473582053
"328","f_municipioMunicipio5:d_smarttv",NA,-1.3964265669759
"329","f_municipioMunicipio5:d_specialview",NA,-0.624672572952919
"330","f_municipioMunicipio5:d_toysforchildren",NA,1.79496687979874
"331","f_municipioMunicipio5:d_tv",NA,-0.403080747715746
"332","f_municipioMunicipio5:d_wardrobe",NA,1.11628736038963
"333","f_municipioMunicipio5:d_windowsamenities",NA,-2.24736688262598
"334","f_municipioMunicipio6",-42.1412105967191,NA
"335","f_municipioMunicipio6:d_ac",NA,0.311162003010903
"336","f_municipioMunicipio6:d_babykit",NA,-0.235114533716417
"337","f_municipioMunicipio6:d_bathroomessentials",NA,-5.08302732260003
"338","f_municipioMunicipio6:d_bathtub",NA,0.228655006671831
"339","f_municipioMunicipio6:d_bedroomessentials",NA,0.784648360431902
"340","f_municipioMunicipio6:d_bidet",NA,-0.00266472187881463
"341","f_municipioMunicipio6:d_bikes",NA,0.0740647281141881
"342","f_municipioMunicipio6:d_breakfast",NA,-2.62371129435909
"343","f_municipioMunicipio6:d_cleaningavailableduringstay",NA,1.29748437657253
"344","f_municipioMunicipio6:d_elevator",NA,-0.779949803561481
"345","f_municipioMunicipio6:d_ethernetconnection",NA,0.412093045966559
"346","f_municipioMunicipio6:d_evcharger",NA,-0.999343463891456
"347","f_municipioMunicipio6:d_exerciseequipm",NA,0.323520535361546
"348","f_municipioMunicipio6:d_externallaundry",NA,-0.241085758324122
"349","f_municipioMunicipio6:d_firepit",NA,-1.54381426356024
"350","f_municipioMunicipio6:d_fridge",NA,-8.31013591940373
"351","f_municipioMunicipio6:d_games",NA,-0.327109007265478
"352","f_municipioMunicipio6:d_gym",NA,-9.57901930088386
"353","f_municipioMunicipio6:d_hottub",NA,-3.47303328929198
"354","f_municipioMunicipio6:d_iron",NA,-1.22153870499617
"355","f_municipioMunicipio6:d_keypad",NA,-0.0425276881179513
"356","f_municipioMunicipio6:d_luggagedropoffallowed",NA,0.629684403375586
"357","f_municipioMunicipio6:d_outdoorfurniture",NA,-1.81996636210375
"358","f_municipioMunicipio6:d_oven",NA,-0.437659275426144
"359","f_municipioMunicipio6:d_patioorbalcony",NA,-0.645173360425049
"360","f_municipioMunicipio6:d_petsallowed",NA,0.0193570186767601
"361","f_municipioMunicipio6:d_piano",NA,-0.265442394060262
"362","f_municipioMunicipio6:d_pool",NA,-2.00140391557239
"363","f_municipioMunicipio6:d_reservedparking",NA,2.11799190619359
"364","f_municipioMunicipio6:d_sauna",NA,0.0737325429346346
"365","f_municipioMunicipio6:d_security",NA,-1.60178916670812
"366","f_municipioMunicipio6:d_smarttv",NA,-0.33005239477913
"367","f_municipioMunicipio6:d_table",NA,1.89875418506469
"368","f_municipioMunicipio6:d_tv",NA,1.78856508531
"369","f_municipioMunicipio6:d_washingmachine",NA,0.00636441812287599
"370","f_municipioMunicipio6:d_wifi",NA,-0.0116561366109437
"371","f_municipioMunicipio6:d_windowsamenities",NA,-0.118678470934192
"372","f_municipioMunicipio7",-50.4211780634939,-9.49628246516733
"373","f_municipioMunicipio7:d_babykit",NA,-1.0493396744174
"374","f_municipioMunicipio7:d_bathtub",NA,-0.905764714940726
"375","f_municipioMunicipio7:d_breakfast",NA,-0.175016191101693
"376","f_municipioMunicipio7:d_buildingstaff",NA,0.699319471886883
"377","f_municipioMunicipio7:d_cleaningavailableduringstay",NA,-0.25261931221196
"378","f_municipioMunicipio7:d_cleaningproducts",NA,-0.673870412988082
"379","f_municipioMunicipio7:d_ethernetconnection",NA,0.960758353160396
"380","f_municipioMunicipio7:d_evcharger",NA,2.66546667908839
"381","f_municipioMunicipio7:d_exerciseequipm",NA,0.462298371225639
"382","f_municipioMunicipio7:d_externallaundry",NA,0.58659836262905
"383","f_municipioMunicipio7:d_firepit",NA,0.283492142448137
"384","f_municipioMunicipio7:d_games",NA,1.45856110355351
"385","f_municipioMunicipio7:d_gym",NA,-6.09182435383917
"386","f_municipioMunicipio7:d_hottub",NA,-0.338521479059668
"387","f_municipioMunicipio7:d_keypad",NA,1.42383149649788
"388","f_municipioMunicipio7:d_outdoorfurniture",NA,0.491909632795105
"389","f_municipioMunicipio7:d_oven",NA,0.315312964045767
"390","f_municipioMunicipio7:d_petsallowed",NA,-1.20846172228868
"391","f_municipioMunicipio7:d_piano",NA,0.543305297141855
"392","f_municipioMunicipio7:d_pool",NA,-3.63135992539433
"393","f_municipioMunicipio7:d_privateentrance",NA,-1.22329945517689
"394","f_municipioMunicipio7:d_privatelivingroom",NA,-0.344586272239401
"395","f_municipioMunicipio7:d_readingmaterial",NA,-0.178998839944846
"396","f_municipioMunicipio7:d_reservedparking",NA,2.47421077444464
"397","f_municipioMunicipio7:d_smarttv",NA,2.839666818916
"398","f_municipioMunicipio7:d_soundsystem",NA,-1.24315789621698
"399","f_municipioMunicipio7:d_stove",NA,-0.00453396480099067
"400","f_municipioMunicipio7:d_toysforchildren",NA,-1.04158779934107
"401","f_municipioMunicipio7:d_unreservedparking",NA,-1.4528979864992
"402","f_municipioMunicipio7:d_wardrobe",NA,0.0741198721628001
"403","f_municipioMunicipio7:d_wifi",NA,-0.206946956045298
"404","f_municipioMunicipio7:d_windowsamenities",NA,0.0196056923246397
"405","f_municipioMunicipio8",-50.4713148732411,NA
"406","f_municipioMunicipio8:d_ac",NA,-1.54680805025149
"407","f_municipioMunicipio8:d_babykit",NA,-1.00305697933641
"408","f_municipioMunicipio8:d_bathtub",NA,1.27056855569309
"409","f_municipioMunicipio8:d_bedroomessentials",NA,-1.21953909863566
"410","f_municipioMunicipio8:d_bidet",NA,1.18868025948418
"411","f_municipioMunicipio8:d_bikes",NA,1.2451301926224
"412","f_municipioMunicipio8:d_breakfast",NA,-2.26419893913489
"413","f_municipioMunicipio8:d_buildingstaff",NA,-0.228070259047289
"414","f_municipioMunicipio8:d_cleaningavailableduringstay",NA,1.41671562649646
"415","f_municipioMunicipio8:d_cleaningproducts",NA,1.08105967895661
"416","f_municipioMunicipio8:d_dryer",NA,-0.317047077821508
"417","f_municipioMunicipio8:d_elevator",NA,-2.38228783661684
"418","f_municipioMunicipio8:d_ethernetconnection",NA,1.46883968933764
"419","f_municipioMunicipio8:d_evcharger",NA,-0.0295748371697695
"420","f_municipioMunicipio8:d_exerciseequipm",NA,0.0912195361770808
"421","f_municipioMunicipio8:d_externallaundry",NA,0.532814822806116
"422","f_municipioMunicipio8:d_firepit",NA,-0.461897503739808
"423","f_municipioMunicipio8:d_games",NA,2.26510465006757
"424","f_municipioMunicipio8:d_gym",NA,-10.2172514654582
"425","f_municipioMunicipio8:d_hottub",NA,-0.235115973192743
"426","f_municipioMunicipio8:d_keypad",NA,1.12223021798654
"427","f_municipioMunicipio8:d_kitchenamenities",NA,-1.42849800513301
"428","f_municipioMunicipio8:d_luggagedropoffallowed",NA,2.14334566416578
"429","f_municipioMunicipio8:d_outdoorfurniture",NA,-2.76051236451758
"430","f_municipioMunicipio8:d_petsallowed",NA,-1.48204859987254
"431","f_municipioMunicipio8:d_piano",NA,-1.17659882182383
"432","f_municipioMunicipio8:d_pool",NA,-0.609630627413795
